document_id,Financial,Operation,Idiosyncratic,Legal,Systematic,sustainability
project_no_32141-090224b08199f56e_PDF,0.0006496540992892712,0.003945951762490933,0.000944286808410308,0.0004594174720917305,0.001508315157688168,0.000121425143658544
project_no_31702-090224b08199f743_PDF,0.00043159024411975705,0.004923548186231488,0.0012585154308642718,0.0009630805163953032,0.0020695489559306775,0.0007969873780771916
project_no_28578-090224b08199f337_PDF,0.000889098453055061,0.0067266199901691946,0.0055134782433898565,0.0005963513064125832,0.004147713418520903,0.0006971177281536513
project_no_29115-090224b08199f0b5_PDF,0.0010668801895659752,0.006239250076013435,0.0022877359077089583,0.0012559874911506044,0.00255580674730815,0.0006035562967016916
project_no_27364-090224b08199f070_PDF,0.0009585916574093226,0.00481723646238796,0.0021052944880022633,0.0004671707871892405,0.004033681014522471,0.0005079450959666622
unknown_project-090224b08199e4b2_PDF,0.00046875886237404273,0.0037561335227247208,0.001825832843446109,0.0010122731411784539,0.002265305583583401,0.000104132233641958
project_no_28068-090224b08199e330_PDF,0.0004280787892286445,0.004601970012475462,0.002426155852089282,0.0013917883804084054,0.003311805136100702,0.005627902037835798
project_no_26123-090224b08199f996_PDF,0.00014142856976004898,0.006504600010216029,0.0019151749392890673,0.0007946993157391104,0.0029125118140505553,0.00026141184673216466
project_no_23945-090224b08199e48d_PDF,0.0011072351968959848,0.005460454619028882,0.0022451139461786463,0.000984563499940447,0.003893430733771171,0.0012149587555668933
unknown_project-090224b08199f8ed_PDF,0.0,0.0009190994742431196,0.0,0.0,0.0,0.0
project_no_22739-090224b0819a099f_PDF,0.0017156969468703205,0.007219869898070205,0.0035258584079478055,0.002079066457768935,0.0043017521557095996,0.004220587407192322
project_no_27777-090224b08199f70f_PDF,0.00131585757631061,0.00658828353922718,0.0015382060105217465,0.0017157544523479684,0.0072299860905671995,0.0023493547145687042
project_no_10491-090224b0819a03ff_PDF,6.510244273463976e-05,0.00400795360976059,0.0018950373060468832,0.0010890894698599523,0.0016908403138061064,0.00040087333069311546
unknown_project-090224b08199f377_PDF,0.0029524389176353583,0.005682385008082538,0.0012403010421382337,0.00042783150897141616,0.002433832722688701,0.0007318354658060006
project_no_27660-090224b08199e523_PDF,0.00043157179548761963,0.006297649479763626,0.003216417036417489,0.0009751641259133501,0.004089396336231789,0.0010476252809495808
project_no_10727-090224b08199eda5_PDF,0.0008009627819340799,0.005793836347571499,0.002242184885531255,0.0016543861485749808,0.003279221743467471,0.001904472928120478
project_no_31730-090224b08199fd54_PDF,0.0004408862745992921,0.003552343777958537,0.0019852058966433593,0.000708576001779312,0.0032105578730860416,0.0007097566271063255
project_no_24841-090224b08199ff81_PDF,0.00019134831682633685,0.005724060376481614,0.0022834303391666786,0.000968485792475646,0.003568513923346387,0.0005155229179251722
unknown_project-090224b08199f3fc_PDF,0.0009234210305116323,0.00599333765508609,0.0015879645524795574,0.0011106851394166706,0.002756530696863293,0.0007541982944497035
unknown_project-090224b08199f610_PDF,0.0,0.001185590789909407,0.0,0.0,0.0,0.0
project_no_31655-090224b08199f5b6_PDF,0.00142883888396418,0.0049522459957179075,0.0024017528379563368,0.0008633517603233696,0.0033319434890967457,0.0005363481996902497
unknown_project-090224b0819a0d67_PDF,0.0,0.0007821536554349932,0.0,0.00027057293214657326,0.00028525594257668846,0.0022961915509760317
project_no_28749-090224b0819a03a6_PDF,0.0002516883531402234,0.004411413816749172,0.0017243701391515646,0.00034422175309806207,0.0035011386715122447,0.00011892353200615846
project_no_31279-090224b0819a037b_PDF,0.0004357967206669873,0.004584646583382545,0.002501495579153697,0.0011061887287331649,0.003214227796644331,0.0010266126189536178
